Aintree	Aint
Ascot	Ascot
Ayr	Ayr
Bangor	Bang
Bath	Bath
Beverley	Bev
Brighton	Brig
Carlisle	Carl
Cartmel	Cart
Catterick	Catt
Cheltenham	Chelt
Chepstow	Chep
Chester	Chest
Doncaster	Donc
Epsom	Epsm
Exeter	Extr
Fakenham	Fake
Ffos Las	FfosL
Folkstone	Folk
Fontwell	Font
Great Leighs	GLghs
Goodwood	Good
Hamilton	Ham
Haydock	Hayd
Hereford	Here
Hexham	Hex
Huntingdon	Hunt
Kelso	Kelso
Kempton	Kemp
Leicester	Leic
Lingfield	Ling
Ludlow	Ludl
Market Rasen	MrktR
Musselburgh	Muss
Newbury	Newb
Newcastle	Newc
Newmarket	Newm
Newton Abbot	Newt
Nottingham	Nott
Perth	Perth
Plumpton	Plump
Pontefract	Ponte
Redcar	Redc
Ripon	Ripon
Salisbury	Salis
Sandown	Sand
Sedgefield	Sedge
Southwell	Sthl
Stratford	Strat
Taunton	Taun
Thirsk	Thirsk
Towcester	Towc
Uttoxeter	Uttox
Warwick	Warw
Wetherby	Weth
Wincanton	Winc
Windsor	Wind
Wolverhampton	Wolv
Worcester	Worc
Yarmouth	Yarm
York	York

Ballinrobe	Ballin
Bellewstown	Belle
Clonmel	Clon
Cork	Cork
Down Royal 	DownR
Downpatrick	DownP
Dundalk	Dund
Fairyhouse	Fairy
Galway	Gal
Gowran Park	GowP
Killarney	Killar
Kilbeggan	Kilb
Laytown	Layt
Leopardstown	Leop
Limerick	Lim
Listowel	List
Naas	Naas
Navan	Navan
Punchestown	Punch
Roscommon	Rosc
Shelbourne	Shelb
Sligo	Sligo
The Curragh	Curr
Thurles	Thurl
Tipperary	Tipp
Tralee	Tral
Tramore	Tram
Wexford	Wex

Addington	Addi (NZL)
Alexandra Park	Alex (NZL)
Arawa Park	Araw (NZL)
Ascot Park	AsPk (NZL)
Ashburton	Ashb (NZL)
Avondale	Avon (NZL)
Awapuni	Awap (NZL)
Blenheim	Blen (NZL)
Cambridge	Camb (NZL)
Cromwell	Crom (NZL)
Dargaville	Darg (NZL)
Egmont	Egmo (NZL)
Ellerslie	Elle (NZL)
Foxton	Foxt (NZL)
Geraldine	Gdne (NZL)
Gisborne	Gisb (NZL)
Gore	Gore (NZL)
Greymouth	Grey (NZL)
Hastings	Hast (NZL)
Hatrick	Hatr (NZL)
Hawera	Hawe (NZL)
Hokitika	Hoki (NZL)
Hutt Park	Hutt (NZL)
Kurow	Kuro (NZL)
Makaraka	Maka (NZL)
Manawatu	Mana (NZL)
Matamata	Mata (NZL)
Manukau	Mkau (NZL)
Motukarara	Motu (NZL)
Mt Harding	MtHa (NZL)
Oamaru	Oama (NZL)
Omoto	Omot (NZL)
Otaki	Otak (NZL)
Paeroa	Paro (NZL)
Phar Lap	PLap (NZL)
Pukekohe	Puke (NZL)
Pukekura	Pkur (NZL)
Reefton	Reef (NZL)
Riccarton Park	Ricc (NZL)
Riverton	Rive (NZL)
Rotorua	Roto (NZL)
Ruakaka	Ruak (NZL)
Stratford	Stfd (NZL)
Taupo	Taup (NZL)
Tauherenikau	Tauh (NZL)
Tauranga	Taur (NZL)
Te Aroha	TeAr (NZL)
Te Awamutu	TeAw (NZL)
Te Kapua 	Tkap (NZL)
Te Kupenga	TKup (NZL)
Te Rapa	TRap (NZL)
Te Teko	TeTe (NZL)
Thames	Tmes (NZL)
Trentham	Tren (NZL)
Waikouaiti	Waik (NZL)
Waimate	Waim (NZL)
Waipukurau	Waip (NZL)
Wairoa	Wair (NZL)
Waterlea	Wlea (NZL)
Waverley	Wave (NZL)
Wanganui	Wnui (NZL)
Wingatui	Wing (NZL)
Winton	Wint (NZL)
Woodville	Wood (NZL)
Wyndham	Wynd (NZL)

Albuquerque	Albu
Aqueduct	Aque
Arapahoe Park	Arap
Arlington Park	Arl
Assiniboia Downs	Assin
Atlantic City	AtlanC
Bay Meadows	BayM
Belmont Park	Belmont
